CUST_ID,GENDER,AGE,TENURE,CHANNEL,AUTOPAY,ARPB_3M,CALL_PARTY_CNT,DAY_MOU,AFTERNOON_MOU,NIGHT_MOU,AVG_CALL_LENGTH,BROADBAND
63,1,34,27,2,0,203,0,0,0,0,3.04,1
64,0,62,58,1,0,360,0,0,1910,0,3.2999999999999998,1
65,1,39,55,3,0,304,0,437.19999999999999,200.30000000000001,0,4.9199999999999999,0
66,1,39,55,3,0,304,0,437.19999999999999,182.80000000000001,0,4.9199999999999999,0
67,1,39,55,3,0,304,0,437.19999999999999,214.5,0,4.9199999999999999,0
68,0,39,44,4,1,355,18,332.5,369.80000000000001,407.80000000000001,4.3700000000000001,0
69,0,39,44,4,1,355,18,332.5,369.80000000000001,407.80000000000001,4.3700000000000001,0
70,0,47,36,1,0,231,0,0,220,0,4.1399999999999997,1
71,1,43,3,1,1,113,8,0,9.5,10.5,4.1100000000000003,0
72,0,48,64,3,0,540,0,288.60000000000002,145.69999999999999,345.69999999999999,4.5099999999999998,1
73,0,38,40,3,0,262,0,0,0,0,4.4400000000000004,0
74,0,38,40,3,0,262,0,0,0,0,4.4400000000000004,0
75,0,31,2,1,0,83,3,0,0,0,3.04,0
76,0,48,20,4,0,287,0,264.10000000000002,410.89999999999998,0,3.1800000000000002,0
77,0,48,20,4,0,287,0,264.10000000000002,378.19999999999999,0,3.1800000000000002,0
78,0,48,20,4,0,287,0,264.10000000000002,410.89999999999998,0,3.1800000000000002,0
79,0,48,20,4,0,287,0,264.10000000000002,410.89999999999998,0,3.1800000000000002,0
80,0,48,20,4,0,287,0,264.10000000000002,410.89999999999998,0,3.1800000000000002,0
81,0,48,20,4,0,287,0,264.10000000000002,410.89999999999998,0,3.1800000000000002,0
82,0,48,20,4,0,287,0,264.10000000000002,410.89999999999998,0,3.1800000000000002,0
83,0,48,20,4,0,287,0,264.10000000000002,410.89999999999998,0,3.1800000000000002,0
84,1,52,45,2,0,343,21,0,690,0,5.1299999999999999,1
85,0,26,10,2,0,147,9,34.200000000000003,0,0,3.5300000000000002,1
86,0,54,62,4,1,395,29,0,3952.9000000000001,1502.0999999999999,3.9100000000000001,0
87,0,54,62,4,1,395,29,0,3952.9000000000001,1502.0999999999999,3.9100000000000001,0
88,1,35,4,4,1,118,31,0,0,0,5.0800000000000001,0
89,1,42,38,1,0,314,0,0,0,0,3.3999999999999999,1
90,1,20,3,1,1,125,0,0,0,0,2.8300000000000001,0
91,0,33,17,4,1,254,17,0,70.299999999999997,149.69999999999999,3.1400000000000001,0
92,0,33,17,4,1,254,17,0,70.299999999999997,149.69999999999999,3.1400000000000001,0
93,0,33,17,4,1,254,15,0,70.299999999999997,149.69999999999999,3.1400000000000001,0
94,0,33,17,4,1,254,17,0,70.299999999999997,149.69999999999999,3.1400000000000001,0
95,0,33,17,4,1,254,17,0,70.299999999999997,149.69999999999999,3.1400000000000001,0
96,0,33,17,4,1,254,17,0,70.299999999999997,149.69999999999999,3.1400000000000001,0
97,0,33,17,4,1,254,17,0,70.299999999999997,149.69999999999999,3.1400000000000001,0
98,0,33,17,4,1,254,17,0,70.299999999999997,149.69999999999999,3.1400000000000001,0
149,0,52,62,3,0,513,0,757,741.5,706.5,5.2699999999999996,0
150,0,52,62,3,0,513,0,757,741.5,706.5,5.2699999999999996,0
151,0,35,7,1,0,154,0,0,0,0,3.8500000000000001,0
